depth	distance
106	1
111	2
111	3
107	4
105	5
107	6
110	7
108	8
111	9
119	10
117	11
107	12
105	13
107	14
109	15
105	16
104	17
102	18
108	19
113	20
113	21
107	22
103	23
103	24
98	25
102	26
103	27
104	28
105	29
105	30
105	31
101	32
103	33
107	34
109	35
104	36
100	37
103	38
100	39
105	40
102	41
105	42
106	43
107	44
104	45
107	46
109	47
108	48
111	49
107	50
107	51
106	52
107	53
102	54
102	55
101	56
103	57
103	58
103	59
100	60
101	61
101	62
100	63
102	64
101	65
96	66
96	67
98	68
104	69
107	70
107	71
102	72
105	73
101	74
105	75
110	76
111	77
111	78
100	79
102	80
102	81
107	82
112	83
114	84
113	85
108	86
106	87
103	88
103	89
101	90
103	91
106	92
107	93
106	94
107	95
107	96
104	97
111	98
117	99
118	100
115	101
107	102
110	103
117	104
121	105
122	106
123	107
119	108
117	109
118	110
115	111
111	112
108	113
107	114
105	115
105	116
105	117
103	118
105	119
107	120
109	121
110	122
111	123
108	124
107	125
106	126
108	127
107	128
105	129
102	130
101	131
102	132
101	133
97	134
100	135
105	136
108	137
108	138
105	139
103	140
103	141
100	142
103	143
106	144
107	145
97	146
98	147
100	148
101	149
97	150
99	151
101	152
104	153
107	154
109	155
111	156
109	157
103	158
105	159
102	160
108	161
113	162
113	163
108	164
107	165
102	166
106	167
106	168
106	169
103	170
97	171
103	172
107	173
102	174
107	175
111	176
110	177
107	178
103	179
99	180
97	181
99	182
100	183
99	184
100	185
99	186
100	187
99	188
99	189
98	190
100	191
102	192
102	193
106	194
112	195
113	196
109	197
107	198
105	199
97	200
105	201
110	202
113	203
108	204
101	205
95	206
99	207
100	208
97	209
92	210
98	211
101	212
103	213
101	214
92	215
95	216
91	217
86	218
86	219
87	220
93	221
97	222
95	223
91	224
86	225
87	226
88	227
88	228
89	229
87	230
90	231
88	232
87	233
89	234
90	235
90	236
87	237
86	238
88	239
83	240
85	241
85	242
87	243
91	244
93	245
96	246
95	247
89	248
89	249
85	250
88	251
89	252
92	253
95	254
91	255
87	256
83	257
83	258
82	259
81	260
81	261
80	262
81	263
82	264
80	265
76	266
72	267
73	268
75	269
77	270
75	271
80	272
81	273
81	274
81	275
81	276
81	277
84	278
86	279
87	280
88	281
86	282
84	283
82	284
80	285
79	286
82	287
82	288
76	289
81	290
83	291
82	292
81	293
75	294
78	295
78	296
78	297
79	298
82	299
82	300
84	301
82	302
77	303
77	304
77	305
75	306
77	307
73	308
75	309
76	310
80	311
77	312
68	313
71	314
71	315
68	316
67	317
69	318
72	319
82	320
